"’À∫≈","÷–º‰÷µ","date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"fuck","midvalue","20200917","13351217131","Refund","111-0099647-3107468","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","DALEVILLE","IN","47334-0429","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","112-0649300-0806647","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","EVANSVILLE","IN","47715-2237","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","114-4695225-1728250","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","HAYWARD","CA","94544-4919","MarketplaceFacilitator","-16.99","-1.66","0","0","0","0","0","0","1.66","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","113-8488519-0856228","SZ-YSB-AA-21407-1","Wireless Earbuds, NENRENT S570 TWS Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound, Wireless Bluetooth Headphones with Charging Case 18H Mus","1","amazon.com","Standard Orders","Amazon","CORAL SPRINGS","FL","33065-3779","","-29.99","0","0","0","0","0","0","0","0","3.60","0","0","0",26.39"
"fuck","midvalue","20200917","13351217131","Refund","114-0431427-2999418","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33193-3320","","-19.99","0","-1.28","0","0","0","1.28","0","0","2.40","0","0","4.00",13.59"
"fuck","midvalue","20200917","13351217131","Refund","113-4481136-6963410","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11230-2706","MarketplaceFacilitator","-16.99","-1.51","0","0","0","0","0","0","1.51","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","113-3999427-2325041","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","WENDELL","NC","27591-6304","MarketplaceFacilitator","-16.99","-1.15","0","0","0","0","0","0","1.15","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","111-5759274-8257027","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","RESTON","VA","20194-1610","MarketplaceFacilitator","-10.99","-0.66","-0.02","0","0","0","0.02","0","0.66","1.32","0","0","0",9.67"
"fuck","midvalue","20200917","13351217131","Refund","111-2789639-1276211","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","LAKE CITY","MN","55041-2242","MarketplaceFacilitator","-16.99","-1.25","0","0","0","0","0","0","1.25","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","112-9712458-4363402","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11214-4018","MarketplaceFacilitator","-19.99","-1.77","0","0","0","0","0","0","1.77","2.40","0","0","0",17.59"
"fuck","midvalue","20200918","13351217131","Refund","111-9062222-7263440","SZ-YSB-AA-21407-1","Wireless Earbuds, NENRENT S570 TWS Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound, Wireless Bluetooth Headphones with Charging Case 18H Mus","1","amazon.com","Standard Orders","Amazon","CASTLE ROCK","CO","80104-2251","MarketplaceFacilitator","-34.99","-1.36","0","0","0","0","0","0","1.36","4.20","0","0","0",30.79"
"fuck","midvalue","20200918","13351217131","Refund","112-1739963-0857813","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","SCHENECTADY","NY","12305-1213","MarketplaceFacilitator","-16.99","-1.36","0","0","0","0","0","0","1.36","2.04","0","0","0",14.95"
"fuck","midvalue","20200918","13351217131","Refund","114-4152252-7930609","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","BROCKTON","MA","02302-2511","","-16.99","0","0","0","0","0","0","0","0","2.04","0","0","0",14.95"
"fuck","midvalue","20200918","13351217131","Refund","113-3416580-4474662","SZ-YSB-AA-21279-1","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V5.0 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for","1","amazon.com","Standard Orders","Amazon","PARKVILLE","MD","21234-8627","MarketplaceFacilitator","-22.99","-1.38","0","0","0","0","0","0","1.38","2.76","0","0","0",20.23"
"fuck","midvalue","20200918","13351217131","Refund","113-9149987-0876200","SZ-YSB-AA-21035-1","NENRENT S580 Bluetooth Headset,Longest Call Time Up to 12-15 Hour Right Ear Wireless Headphone Earphone Earpiece with Mic Hands-Free Calls Black 1 Pie","1","amazon.com","Standard Orders","Amazon","MORRISVILLE","NC","27560-6952","MarketplaceFacilitator","-19.99","-1.45","0","0","0","0","0","0","1.45","2.40","0","0","0",17.59"
"fuck","midvalue","20200918","13351217131","Refund","112-5149563-3975403","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","SEATTLE","WA","98112-4567","MarketplaceFacilitator","-16.99","-1.72","0","0","0","0","0","0","3.44","4.08","0","0","0",11.19"
"fuck","midvalue","20200918","13351217131","Refund","112-5149563-3975403","SZ-YSB-AA-21033 -1","NENRENT S570 Bluetooth Earbud,Smallest Mini V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone Samsung G","1","amazon.com","Standard Orders","Amazon","SEATTLE","WA","98112-4567","","-16.99","-1.72","0","0","0","0","0","0","0","0","0","0","0",18.71"
"fuck","midvalue","20200919","13351217131","Refund","112-9572072-9340216","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","COLDWATER","MS","38618-6618","MarketplaceFacilitator","0","0","-5.59","-0.39","0","0","0","0","0.39","0","5.59","0","0","0"
"fuck","midvalue","20200919","13351217131","Refund","111-9948925-5161021","SZ-YSB-AA-21892","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","ACTON","MA","01720-5540","MarketplaceFacilitator","-22.99","-1.44","0","0","0","0","0","0","1.44","2.76","0","0","0",20.23"
"fuck","midvalue","20200919","13351217131","Refund","111-8667725-0781854","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","SAN DIEGO","CALIFORNIA","92124-1804","MarketplaceFacilitator","-12.99","-1.01","0","0","0","0","0","0","1.01","1.56","0","0","2.60",8.83"
"fuck","midvalue","20200919","13351217131","Refund","114-5452898-9119465","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","KNOXVILLE","TN","37932-1444","","-22.99","0","-5.99","0","0","0","0","0","0","2.76","5.99","0","0",20.23"
"fuck","midvalue","20200919","13351217131","Refund","113-2136334-3245011","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","SNELLVILLE","GA","30039-6710","MarketplaceFacilitator","-16.99","-1.02","-4.75","0","0","0","4.75","0","1.02","2.04","0","0","0",14.95"
"fuck","midvalue","20200920","13351217131","Refund","114-5851639-8392204","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","MANCHESTER","NH","03102-2474","","-19.99","0","0","0","0","0","10.65","0","0","1.12","0","0","0",8.22"
"fuck","midvalue","20200920","13351217131","Refund","114-7798114-0499430","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","ACWORTH","GA","30101-6216","MarketplaceFacilitator","-16.99","-1.02","-5.99","-0.36","0","0","0","0","1.38","2.04","5.99","0","0",14.95"
"fuck","midvalue","20200921","13351217131","Refund","114-3918044-8119427","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","CHARLESTON","SC","29420-8256","MarketplaceFacilitator","-19.99","-1.60","0","0","0","0","0","0","1.60","2.40","0","0","0",17.59"
"fuck","midvalue","20200921","13351217131","Refund","112-7098750-2624266","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","HAZLETON","PA","18201-6756","MarketplaceFacilitator","-16.99","-1.02","0","0","0","0","0","0","1.02","2.04","0","0","0",14.95"
"fuck","midvalue","20200921","13351217131","Refund","112-7778134-2337006","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","South Ogden","Ut","84403","MarketplaceFacilitator","-19.99","-1.45","0","0","0","0","0","0","1.45","2.40","0","0","0",17.59"
"fuck","midvalue","20200921","13351217131","Refund","112-2558173-4336208","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","COVINGTON","LA","70433-5632","MarketplaceFacilitator","0","0","-0.04","0","0","0","0","0","0","0","0.04","0","0","0"
"fuck","midvalue","20200921","13351217131","Refund","113-2660097-2936204","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","stockton","ca","95210","MarketplaceFacilitator","-22.99","-2.07","0","0","0","0","0","0","2.07","2.76","0","0","0",20.23"
"fuck","midvalue","20200922","13351217131","Refund","113-4788277-4097038","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","LONGVIEW","TX","75604-3316","MarketplaceFacilitator","-19.99","-1.65","0","0","0","0","0","0","1.65","2.40","0","0","0",17.59"
"fuck","midvalue","20200922","13351217131","Refund","113-8206487-8198662","SZ-YSB-AA-21279-1","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V5.0 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for","1","amazon.com","Standard Orders","Amazon","Hartsel","Colorado","80449-0338","MarketplaceFacilitator","-22.99","-1.13","0","0","0","0","0","0","1.13","2.76","0","0","0",20.23"
"fuck","midvalue","20200922","13351217131","Refund","111-5497553-3636256","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","GRAND RAPIDS","MI","49503-1974","MarketplaceFacilitator","-19.99","-1.20","0","0","0","0","0","0","1.20","2.40","0","0","0",17.59"
"fuck","midvalue","20200922","13351217131","Refund","113-1843837-1773011","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","LAS VEGAS","NV","89118-4655","MarketplaceFacilitator","-22.99","-1.93","0","0","0","0","0","0","1.93","2.76","0","0","0",20.23"
"fuck","midvalue","20200922","13351217131","Refund","112-0817853-8854603","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","NORTH KINGSTOWN","RI","02852-1211","MarketplaceFacilitator","-19.99","-1.40","0","0","0","0","0","0","1.40","2.40","0","0","0",17.59"
"fuck","midvalue","20200922","13351217131","Refund","113-5304312-6226663","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","RISING SUN","IN","47040-1008","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
"fuck","midvalue","20200922","13351217131","Refund","111-8623197-1454614","SZ-YSB-AA-21892","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","LAKELAND","FLORIDA","33813-5227","","-22.99","0","0","0","0","0","0","0","0","2.76","0","0","0",20.23"
